# This file contains the cross section for particles into the FORWARD hemisphere only
# Normalization:	4511672068055.184	 pb
# PID:	321
# log10(theta)	log10(p/GeV)	cross-section[pb/bin]
-7.175	2.075	0
-7.175	2.125	0
-7.175	2.175	0
-7.175	2.225	0
-7.175	2.275	0
-7.175	2.325	0
-7.175	2.375	0
-7.175	2.425	0
-7.175	2.475	0
-7.175	2.525	0
-7.175	2.575	0
-7.175	2.625	0
-7.125	-1.975	0
-7.125	-1.925	0
-7.125	-1.875	0
-7.125	-1.825	0
-7.125	-1.775	0
-7.125	-1.725	0
-7.125	-1.675	0
-7.125	-1.625	0
-7.125	-1.575	0
-7.125	-1.525	0
-7.125	-1.475	0
-7.125	-1.425	0
-7.125	-1.375	0
-7.125	-1.325	0
-7.125	-1.275	0
-7.125	-1.225	0
-7.125	-1.175	0
-7.125	-1.125	0
-7.125	-1.075	0
-7.125	-1.025	0
-7.125	-0.975	0
-7.125	-0.925	0
-7.125	-0.875	0
-7.125	-0.825	0
-7.125	-0.775	0
-7.125	-0.725	0
-7.125	-0.675	0
-7.125	-0.625	0
-7.125	-0.575	0
-7.125	-0.525	0
-7.125	-0.475	0
-7.125	-0.425	0
-7.125	-0.375	0
-7.125	-0.325	0
-7.125	-0.275	0
-7.125	-0.225	0
-7.125	-0.175	0
-7.125	-0.125	0
-7.125	-0.0749999999999999	0
-7.125	-0.0249999999999999	0
-7.125	0.0250000000000001	0
-7.125	0.0750000000000001	0
-7.125	0.125	0
-7.125	0.175	0
-7.125	0.225	0
-7.125	0.275	0
-7.125	0.325	0
-7.125	0.375	0
-7.125	0.425	0
-7.125	0.475	0
-7.125	0.525	0
-7.125	0.575	0
-7.125	0.625	0
-7.125	0.675	0
-7.125	0.725	0
-7.125	0.775	0
-7.125	0.825	0
-7.125	0.875	0
-7.125	0.925	0
-7.125	0.975	0
-7.125	1.025	0
-7.125	1.075	0
-7.125	1.125	0
-7.125	1.175	0
-7.125	1.225	0
-7.125	1.275	0
-7.125	1.325	0
-7.125	1.375	0
-7.125	1.425	0
-7.125	1.475	0
-7.125	1.525	0
-7.125	1.575	0
-7.125	1.625	0
-7.125	1.675	0
-7.125	1.725	0
-7.125	1.775	0
-7.125	1.825	0
-7.125	1.875	0
-7.125	1.925	0
-7.125	1.975	0
-7.125	2.025	0
-7.125	2.075	0
-7.125	2.125	0
-7.125	2.175	0
-7.125	2.225	0
-7.125	2.275	0
-7.125	2.325	0
-7.125	2.375	0
-7.125	2.425	0
-7.125	2.475	0
-7.125	2.525	0
-7.125	2.575	0
-7.125	2.625	0
-7.075	-1.975	0
-7.075	-1.925	0
-7.075	-1.875	0
-7.075	-1.825	0
-7.075	-1.775	0
-7.075	-1.725	0
-7.075	-1.675	0
-7.075	-1.625	0
-7.075	-1.575	0
-7.075	-1.525	0
-7.075	-1.475	0
-7.075	-1.425	0
-7.075	-1.375	0
-7.075	-1.325	0
-7.075	-1.275	0
-7.075	-1.225	0
-7.075	-1.175	0
-7.075	-1.125	0
-7.075	-1.075	0
-7.075	-1.025	0
-7.075	-0.975	0
-7.075	-0.925	0
-7.075	-0.875	0
-7.075	-0.825	0
-7.075	-0.775	0
-7.075	-0.725	0
-7.075	-0.675	0
